sender_epk_id,recipient_epk_id,amount,transferdt,bad_flag
EPK_000474,EPK_000004,2775.09,2024-01-01 19:31:07.191209,False
EPK_000058,EPK_000458,312.48,2024-01-01 19:42:42.577406,False
EPK_000169,EPK_000329,134.4,2024-01-01 19:50:49.700740,False
EPK_000475,EPK_000307,1506.18,2024-01-01 19:54:54.734990,False
EPK_000187,EPK_000332,585.29,,False
EPK_000463,EPK_000168,87.7,,False
EPK_000270,EPK_000180,391.19,,False
EPK_000189,EPK_000365,2707.86,2024-01-01 21:19:02.203180,False
EPK_000445,EPK_000177,873.83,,False
EPK_000174,EPK_000142,11489.12,2024-01-01 21:37:04.809404,False
EPK_000445,EPK_000361,47.9,2024-01-01 21:38:05.230754,False
EPK_000050,EPK_000247,8159.91,2024-01-01 22:08:50.651076,False
EPK_000363,EPK_000126,654.68,2024-01-01 23:18:52.199491,False
EPK_000054,EPK_000262,527.09,2024-01-01 23:29:30.586418,False
EPK_000243,EPK_000039,107.04,,False
EPK_000319,EPK_000411,2203.1,,False
EPK_000130,EPK_000415,70.8,2024-01-02 01:02:03.420605,False
EPK_000484,EPK_000354,3740.05,2024-01-02 01:26:23.129055,False
EPK_000306,EPK_000254,113.29,,False
EPK_000134,EPK_000142,143.52,2024-01-02 02:03:17.451720,False
EPK_000020,EPK_000239,183.68,2024-01-02 02:44:15.583911,False
EPK_000328,EPK_000227,374.68,2024-01-02 02:45:40.493041,False
EPK_000166,EPK_000340,4505.77,,False
EPK_000273,EPK_000197,10466.5,2024-01-02 02:48:16.390134,False
EPK_000387,EPK_000064,437.51,2024-01-02 03:28:50.919772,False
EPK_000088,EPK_000387,1022.65,2024-01-02 03:42:18.982665,False
EPK_000315,EPK_000010,2286.73,2024-01-02 05:41:50.518206,False
EPK_000013,EPK_000107,669.17,2024-01-02 05:48:45.722854,False
EPK_000241,EPK_000025,2156.27,,False
EPK_000264,EPK_000444,1089.94,2024-01-02 06:16:54.516826,False
EPK_000345,EPK_000420,749.8,2024-01-02 07:20:16.293265,False
EPK_000052,EPK_000150,130.36,2024-01-02 08:09:05.107577,False
EPK_000385,EPK_000220,1371.37,2024-01-02 09:11:01.653556,False
EPK_000339,EPK_000340,4617.29,2024-01-02 09:17:33.010009,False
EPK_000091,EPK_000495,341.24,2024-01-02 09:20:48.460293,False
EPK_000366,EPK_000236,57.26,2024-01-02 09:33:28.848977,False
EPK_000443,EPK_000236,679.04,2024-01-02 10:20:14.267562,False
EPK_000454,EPK_000496,10558.18,2024-01-02 10:25:41.482503,False
EPK_000427,EPK_000218,6754.23,2024-01-02 10:38:54.495353,False
EPK_000263,EPK_000486,459.12,2024-01-02 11:27:31.746853,False
EPK_000430,EPK_000423,2171.72,2024-01-02 12:01:10.612599,False
EPK_000034,EPK_000460,2752.65,2024-01-02 12:01:34.090313,False
EPK_000205,EPK_000150,10254.86,2024-01-02 12:25:51.157613,False
EPK_000080,EPK_000122,107.14,2024-01-02 12:36:31.952340,False
EPK_000419,EPK_000143,220.69,2024-01-02 14:28:56.037142,False
EPK_000049,EPK_000477,53.81,2024-01-02 14:52:16.686390,False
EPK_000359,EPK_000188,396.39,2024-01-02 15:10:04.066031,False
EPK_000387,EPK_000254,5428.72,2024-01-02 15:12:09.597271,False
EPK_000001,EPK_000067,473.63,2024-01-02 15:14:03.009661,False
EPK_000389,EPK_000103,154.12,2024-01-02 15:39:46.723809,False
EPK_000053,EPK_000335,1540.64,2024-01-02 16:33:53.824602,False
EPK_000105,EPK_000158,1601.27,2024-01-02 16:37:40.248814,False
EPK_000259,EPK_000308,238.51,2024-01-02 16:38:32.368524,False
EPK_000309,EPK_000361,513.34,2024-01-02 16:42:56.120953,False
EPK_000476,EPK_000408,1374.53,2024-01-02 17:14:02.750670,False
EPK_000190,EPK_000299,3357.59,2024-01-02 17:25:06.010641,False
EPK_000401,EPK_000395,414.34,2024-01-02 17:41:16.165263,False
EPK_000217,EPK_000089,333.8,2024-01-02 17:41:29.854757,False
EPK_000043,EPK_000356,19318.76,2024-01-02 18:09:45.691153,False
EPK_000161,EPK_000255,727.02,2024-01-02 18:17:02.190088,False
EPK_000201,EPK_000495,1594.24,2024-01-02 18:36:05.687685,False
EPK_000445,EPK_000352,2900.24,2024-01-02 18:49:05.049180,False
EPK_000483,EPK_000219,75.16,,False
EPK_000269,EPK_000008,1066.58,2024-01-02 19:26:20.801256,False
EPK_000350,EPK_000011,92.89,2024-01-02 19:58:20.619474,False
EPK_000303,EPK_000324,901.3,2024-01-02 20:03:58.323537,False
EPK_000270,EPK_000437,8601.45,2024-01-02 20:21:51.063545,False
EPK_000455,EPK_000243,245.25,2024-01-02 21:02:52.824184,False
EPK_000461,EPK_000181,90.05,2024-01-02 21:07:54.363766,False
EPK_000214,EPK_000283,18611.38,,True
EPK_000251,EPK_000311,196.25,2024-01-02 21:13:31.173041,False
EPK_000189,EPK_000098,115.83,2024-01-02 22:00:38.790131,False
EPK_000295,EPK_000196,12438.44,2024-01-02 22:04:48.199832,False
EPK_000212,EPK_000481,184.99,2024-01-02 22:41:24.115290,False
EPK_000207,EPK_000365,12930.85,,False
EPK_000236,EPK_000225,1654.3,2024-01-02 23:56:26.621091,False
EPK_000337,EPK_000332,7524.62,2024-01-03 00:05:03.452388,False
EPK_000366,EPK_000102,1449.68,2024-01-03 00:11:08.850733,False
EPK_000052,EPK_000105,5538.91,2024-01-03 00:28:37.619601,False
EPK_000279,EPK_000364,276.53,2024-01-03 01:06:45.105846,False
EPK_000409,EPK_000367,436.85,2024-01-03 01:08:14.328672,False
EPK_000216,EPK_000057,45.91,2024-01-03 01:25:34.596155,False
EPK_000251,EPK_000077,4711.08,2024-01-03 01:37:51.650695,False
EPK_000187,EPK_000074,2057.72,,False
EPK_000379,EPK_000041,242.02,2024-01-03 02:05:11.326448,False
EPK_000492,EPK_000421,79.57,2024-01-03 02:12:16.428988,False
EPK_000040,EPK_000323,1673.58,,False
EPK_000156,EPK_000180,13547.15,,False
EPK_000014,EPK_000032,891.64,2024-01-03 03:57:50.653054,False
EPK_000300,EPK_000070,408.43,2024-01-03 04:02:25.368250,False
EPK_000064,EPK_000055,268.91,,False
EPK_000344,EPK_000104,7143.96,2024-01-03 05:49:42.670323,False
EPK_000326,EPK_000199,340.74,2024-01-03 05:59:50.195829,False
EPK_000008,EPK_000100,628.43,2024-01-03 06:34:48.075103,False
EPK_000343,EPK_000255,5232.28,,False
EPK_000128,EPK_000306,2853.27,2024-01-03 07:06:48.356595,False
EPK_000491,EPK_000073,665.56,2024-01-03 07:35:29.039551,False
EPK_000135,EPK_000170,384.34,2024-01-03 07:39:39.457647,False
EPK_000471,EPK_000376,9880.98,2024-01-03 08:18:21.299521,False
EPK_000062,EPK_000142,205.5,2024-01-03 08:47:58.122458,False
EPK_000138,EPK_000165,799.97,2024-01-03 09:03:08.889380,False
EPK_000498,EPK_000398,114.57,2024-01-03 09:15:14.702341,False
EPK_000080,EPK_000260,6524.38,2024-01-03 09:29:38.372623,False
EPK_000391,EPK_000220,537.9,2024-01-03 10:00:10.712086,False
EPK_000162,EPK_000082,383.97,2024-01-03 10:03:36.916997,False
EPK_000418,EPK_000181,2958.67,2024-01-03 10:27:07.314312,False
EPK_000288,EPK_000306,129.25,,False
EPK_000378,EPK_000009,2844.3,2024-01-03 11:20:05.505813,False
EPK_000260,EPK_000395,638.54,2024-01-03 12:15:52.588883,False
EPK_000489,EPK_000003,179.84,2024-01-03 13:21:09.641292,False
EPK_000230,EPK_000350,248.29,2024-01-03 13:31:29.872758,False
EPK_000040,EPK_000401,392.96,2024-01-03 14:09:03.046473,False
EPK_000027,EPK_000335,563.37,2024-01-03 14:16:29.634439,False
EPK_000134,EPK_000487,181.67,2024-01-03 14:33:54.031883,False
EPK_000200,EPK_000291,1705.77,2024-01-03 14:49:04.490236,False
EPK_000327,EPK_000280,174.67,,False
EPK_000267,EPK_000214,31.57,2024-01-03 15:55:39.917741,False
EPK_000417,EPK_000459,19524.58,2024-01-03 16:18:19.988704,True
EPK_000032,EPK_000097,1475.71,2024-01-03 16:42:41.726198,False
EPK_000047,EPK_000419,22342.31,2024-01-03 17:37:33.087596,False
EPK_000406,EPK_000100,229.18,2024-01-03 18:40:28.816843,False
EPK_000061,EPK_000450,2252.27,,False
EPK_000215,EPK_000008,4196.11,,False
EPK_000292,EPK_000060,825.49,2024-01-03 23:04:31.103561,False
EPK_000098,EPK_000308,125.63,2024-01-03 23:16:15.479678,False
EPK_000171,EPK_000145,737.51,2024-01-04 00:15:30.456251,False
EPK_000359,EPK_000426,2806.22,2024-01-04 01:42:54.805047,False
EPK_000213,EPK_000418,2650.04,,False
EPK_000474,EPK_000062,1093.96,2024-01-04 02:04:03.259570,False
EPK_000034,EPK_000120,4213.01,2024-01-04 02:23:20.403573,False
EPK_000448,EPK_000225,3925.03,2024-01-04 03:25:46.364319,False
EPK_000226,EPK_000104,499.95,2024-01-04 03:26:10.327754,False
EPK_000100,EPK_000461,112.1,2024-01-04 03:50:29.390388,False
EPK_000430,EPK_000259,1459.21,2024-01-04 03:56:50.641810,False
EPK_000461,EPK_000348,357.82,2024-01-04 04:03:28.904463,False
EPK_000130,EPK_000424,1360.52,,False
EPK_000256,EPK_000254,8252.69,,False
EPK_000004,EPK_000428,2113.79,2024-01-04 06:24:34.113942,False
EPK_000217,EPK_000433,7664.72,,False
EPK_000254,EPK_000206,240.51,2024-01-04 07:54:45.455478,False
EPK_000397,EPK_000027,5603.71,2024-01-04 07:57:00.513111,False
EPK_000358,EPK_000169,13560.24,,False
EPK_000282,EPK_000335,1207.71,,False
EPK_000392,EPK_000075,35706.22,2024-01-04 08:55:16.693775,False
EPK_000206,EPK_000115,303.04,,False
EPK_000014,EPK_000068,420.63,,False
EPK_000345,EPK_000353,2907.08,2024-01-04 10:29:52.970555,False
EPK_000041,EPK_000233,1189.99,,False
EPK_000379,EPK_000000,359.83,2024-01-04 11:13:52.361811,False
EPK_000460,EPK_000166,2775.69,,False
EPK_000178,EPK_000351,1869.29,2024-01-04 11:57:25.667406,False
EPK_000062,EPK_000217,455.13,2024-01-04 12:04:43.981713,False
EPK_000351,EPK_000272,1456.19,,False
EPK_000230,EPK_000367,3423.91,2024-01-04 12:31:18.181597,False
EPK_000240,EPK_000250,440.24,,False
EPK_000051,EPK_000346,2381.52,2024-01-04 12:46:09.212892,False
EPK_000095,EPK_000343,298.7,2024-01-04 12:53:34.745157,False
EPK_000387,EPK_000418,399.12,,False
EPK_000221,EPK_000173,5810.26,2024-01-04 13:56:01.582126,False
EPK_000484,EPK_000169,2753.48,2024-01-04 14:06:40.681898,False
EPK_000406,EPK_000245,64.7,2024-01-04 14:23:19.554422,False
EPK_000230,EPK_000422,625.57,2024-01-04 14:23:21.141579,False
EPK_000236,EPK_000089,2285.97,2024-01-04 14:27:06.607369,False
EPK_000142,EPK_000048,1350.59,2024-01-04 14:49:36.516722,False
EPK_000170,EPK_000445,2771.95,2024-01-04 14:50:53.624139,False
EPK_000028,EPK_000293,1305.02,2024-01-04 15:16:28.944813,False
EPK_000035,EPK_000406,898.84,2024-01-04 15:30:30.325300,False
EPK_000012,EPK_000149,858.56,2024-01-04 15:53:07.690729,False
EPK_000159,EPK_000131,5635.09,2024-01-04 16:03:31.834562,False
EPK_000326,EPK_000432,3110.1,2024-01-04 16:25:46.989989,False
EPK_000186,EPK_000058,2012.47,,False
EPK_000242,EPK_000456,1252.94,,False
EPK_000085,EPK_000323,481.44,2024-01-04 17:24:17.449113,False
EPK_000283,EPK_000198,692.2,2024-01-04 17:25:42.006781,False
EPK_000065,EPK_000214,5415.43,2024-01-04 17:28:33.894974,False
EPK_000169,EPK_000385,4702.05,2024-01-04 17:39:59.771592,False
EPK_000044,EPK_000048,414.53,2024-01-04 18:46:23.324956,False
EPK_000061,EPK_000471,1273.95,2024-01-04 18:59:11.804162,False
EPK_000440,EPK_000231,2316.24,2024-01-04 19:32:12.531457,False
EPK_000133,EPK_000246,2100.18,2024-01-04 20:37:23.113921,False
EPK_000283,EPK_000381,2076.05,2024-01-04 21:31:00.348487,False
EPK_000027,EPK_000478,206.83,2024-01-04 22:03:11.463563,False
EPK_000107,EPK_000238,189.19,2024-01-04 22:23:33.091734,False
EPK_000043,EPK_000414,6344.17,2024-01-04 22:41:33.807264,False
EPK_000339,EPK_000366,10546.38,2024-01-04 22:42:23.347961,False
EPK_000285,EPK_000167,118.83,2024-01-04 22:53:33.882381,False
EPK_000445,EPK_000047,1051.91,2024-01-04 23:20:23.508651,False
EPK_000330,EPK_000050,3718.5,,False
EPK_000127,EPK_000298,40.22,2024-01-04 23:35:41.184536,False
EPK_000347,EPK_000097,219.2,2024-01-04 23:54:52.494972,False
EPK_000472,EPK_000438,954.99,2024-01-05 00:37:10.059847,False
EPK_000230,EPK_000215,447.71,,False
EPK_000189,EPK_000176,1500.74,2024-01-05 00:52:22.356745,False
EPK_000224,EPK_000379,9953.93,2024-01-05 01:14:16.656626,False
EPK_000384,EPK_000473,305.15,,False
EPK_000376,EPK_000079,1182.53,2024-01-05 01:25:51.616176,False
EPK_000282,EPK_000184,653.8,2024-01-05 01:28:55.515282,False
EPK_000445,EPK_000366,1345.54,2024-01-05 01:48:46.350898,False
EPK_000120,EPK_000460,1106.22,,False
EPK_000115,EPK_000398,57285.18,2024-01-05 02:20:34.976308,False
EPK_000460,EPK_000026,10243.17,2024-01-05 03:05:47.745253,False
EPK_000232,EPK_000451,102.37,2024-01-05 04:10:10.689383,False
EPK_000258,EPK_000463,284.23,2024-01-05 04:12:34.210491,False
EPK_000358,EPK_000447,341.45,2024-01-05 04:30:13.068048,False
EPK_000197,EPK_000477,172.19,,False
EPK_000455,EPK_000491,140.82,,False
EPK_000410,EPK_000413,839.2,2024-01-05 05:33:10.162909,False
EPK_000136,EPK_000419,361.57,2024-01-05 07:45:45.179758,False
EPK_000317,EPK_000194,288.24,,False
EPK_000164,EPK_000213,22713.41,2024-01-05 08:44:28.017210,True
EPK_000224,EPK_000368,400.89,2024-01-05 09:01:02.155801,False
EPK_000306,EPK_000341,564.11,2024-01-05 09:11:20.814831,False
EPK_000233,EPK_000113,3334.86,2024-01-05 10:22:03.593863,False
EPK_000171,EPK_000241,561.27,2024-01-05 10:46:57.109243,False
EPK_000151,EPK_000123,190.85,,False
EPK_000462,EPK_000304,744.78,2024-01-05 12:10:55.150838,False
EPK_000314,EPK_000075,22316.91,,False
EPK_000373,EPK_000310,532.64,2024-01-05 12:14:10.748240,False
EPK_000159,EPK_000468,279.32,2024-01-05 12:22:45.509167,False
EPK_000095,EPK_000311,2059.76,2024-01-05 12:24:18.402333,False
EPK_000471,EPK_000195,693.07,2024-01-05 13:17:23.103647,False
EPK_000232,EPK_000350,66735.42,2024-01-05 13:21:07.471588,False
EPK_000179,EPK_000043,336.86,,False
EPK_000112,EPK_000414,14773.59,2024-01-05 13:37:13.234761,False
EPK_000317,EPK_000185,6279.74,2024-01-05 14:47:27.010159,False
EPK_000496,EPK_000342,618.92,2024-01-05 15:30:33.888233,False
EPK_000441,EPK_000245,1090.87,,False
EPK_000051,EPK_000436,233.97,2024-01-05 15:34:14.211249,False
EPK_000267,EPK_000083,488.99,,False
EPK_000294,EPK_000206,612.37,2024-01-05 15:52:19.894101,False
EPK_000385,EPK_000150,1389.61,2024-01-05 16:01:06.533877,False
EPK_000386,EPK_000155,131.76,,False
EPK_000112,EPK_000015,1749.75,,False
EPK_000100,EPK_000164,881.12,2024-01-05 17:25:55.348618,False
EPK_000112,EPK_000404,1992.53,,False
EPK_000439,EPK_000462,2492.3,2024-01-05 18:16:08.011965,False
EPK_000080,EPK_000144,781.41,2024-01-05 18:28:30.076214,False
EPK_000186,EPK_000497,2280.83,,False
EPK_000112,EPK_000036,962.21,2024-01-05 19:51:03.680144,False
EPK_000001,EPK_000332,3344.96,2024-01-05 19:55:48.650253,False
EPK_000129,EPK_000402,1761.97,2024-01-05 20:40:56.668770,False
EPK_000219,EPK_000413,1438.8,2024-01-05 20:50:16.483120,False
EPK_000053,EPK_000044,940.42,2024-01-05 21:35:21.372097,False
EPK_000342,EPK_000401,7659.67,,False
EPK_000484,EPK_000205,2013.8,2024-01-05 23:02:04.966192,False
EPK_000223,EPK_000061,151.08,2024-01-05 23:41:16.403121,False
EPK_000224,EPK_000419,540.27,2024-01-05 23:54:29.532158,False
EPK_000384,EPK_000355,778.31,,False
EPK_000402,EPK_000467,1094.79,2024-01-06 00:32:54.951586,False
EPK_000125,EPK_000307,1429.47,2024-01-06 01:18:16.373776,False
EPK_000129,EPK_000018,266.05,2024-01-06 01:21:11.284426,False
EPK_000052,EPK_000364,990.3,2024-01-06 01:49:10.781477,False
EPK_000171,EPK_000299,684.59,2024-01-06 02:26:16.050628,False
EPK_000217,EPK_000006,5580.96,2024-01-06 02:59:06.051557,False
EPK_000159,EPK_000248,246.51,2024-01-06 03:05:44.472703,False
EPK_000197,EPK_000427,1068.42,2024-01-06 04:24:55.530842,False
EPK_000415,EPK_000116,392.26,,False
EPK_000246,EPK_000067,17934.72,2024-01-06 05:19:00.162727,False
EPK_000323,EPK_000033,7222.24,2024-01-06 05:21:07.402084,False
EPK_000438,EPK_000193,93.36,2024-01-06 05:25:37.698626,False
EPK_000202,EPK_000324,332.18,2024-01-06 05:50:41.259289,False
EPK_000183,EPK_000054,4049.65,2024-01-06 06:07:35.668786,False
EPK_000122,EPK_000265,2177.48,2024-01-06 06:13:56.920942,False
EPK_000400,EPK_000479,2077.45,,False
EPK_000254,EPK_000041,1460.13,,False
EPK_000293,EPK_000296,4567.86,,False
EPK_000279,EPK_000460,3538.52,2024-01-06 08:12:01.469397,False
EPK_000324,EPK_000230,709.22,2024-01-06 08:38:17.783321,True
EPK_000371,EPK_000452,181.47,2024-01-06 09:29:24.165996,False
EPK_000097,EPK_000377,86.91,,False
EPK_000197,EPK_000393,938.74,2024-01-06 11:19:13.392802,False
EPK_000469,EPK_000009,69.42,2024-01-06 11:21:12.768860,False
EPK_000394,EPK_000357,1597.98,2024-01-06 12:12:58.720474,False
EPK_000239,EPK_000474,690.87,,False
EPK_000143,EPK_000443,20249.12,2024-01-06 13:04:53.208997,False
EPK_000096,EPK_000127,1834.81,,False
EPK_000200,EPK_000178,1049.6,2024-01-06 14:14:30.620685,False
EPK_000123,EPK_000404,97.1,,False
EPK_000186,EPK_000391,165.09,2024-01-06 14:57:33.949073,False
EPK_000325,EPK_000192,3047.36,,False
EPK_000463,EPK_000091,685.64,2024-01-06 15:32:36.988160,False
EPK_000348,EPK_000368,49171.21,,False
EPK_000258,EPK_000230,968.18,2024-01-06 16:52:14.320753,False
EPK_000147,EPK_000077,1412.88,2024-01-06 17:16:47.151076,False
EPK_000251,EPK_000084,152.12,2024-01-06 17:33:22.402006,False
EPK_000442,EPK_000029,4542.11,2024-01-06 18:02:09.902290,False
EPK_000419,EPK_000212,273.53,2024-01-06 18:09:27.694538,False
EPK_000402,EPK_000048,2408.16,2024-01-06 18:24:01.910168,False
EPK_000345,EPK_000264,3705.93,2024-01-06 18:36:59.400107,False
EPK_000450,EPK_000144,1264.95,2024-01-06 18:39:43.072807,False
EPK_000146,EPK_000068,15297.68,2024-01-06 18:56:53.074585,False
EPK_000147,EPK_000057,438.76,2024-01-06 18:59:34.411094,False
EPK_000351,EPK_000184,13538.74,2024-01-06 19:28:24.025165,False
EPK_000198,EPK_000061,162.97,2024-01-06 19:29:43.495707,False
EPK_000307,EPK_000478,3635.65,2024-01-06 19:43:59.234616,False
EPK_000488,EPK_000307,885.7,2024-01-06 19:56:28.278070,False
EPK_000416,EPK_000444,379.1,2024-01-06 20:06:58.731311,False
EPK_000423,EPK_000295,90.75,2024-01-06 20:15:22.743617,False
EPK_000127,EPK_000165,741.74,,False
EPK_000038,EPK_000170,674.71,2024-01-06 20:48:08.435859,False
EPK_000337,EPK_000062,1421.35,2024-01-06 20:51:58.484090,False
EPK_000359,EPK_000146,3252.64,,False
EPK_000128,EPK_000483,326.13,2024-01-06 22:50:58.099636,False
EPK_000266,EPK_000305,15327.46,2024-01-06 23:28:40.844129,False
EPK_000475,EPK_000160,488.92,2024-01-07 00:12:34.354103,False
EPK_000440,EPK_000140,2706.17,2024-01-07 00:28:53.415080,False
EPK_000472,EPK_000333,1255.45,2024-01-07 00:47:11.850779,False
EPK_000433,EPK_000096,813.98,2024-01-07 00:49:52.552582,False
EPK_000150,EPK_000445,1164.55,,False
EPK_000414,EPK_000220,267.62,,False
EPK_000477,EPK_000042,613.18,2024-01-07 01:33:08.036788,False
EPK_000297,EPK_000432,146.99,2024-01-07 01:35:10.143990,False
EPK_000098,EPK_000291,481.11,2024-01-07 02:01:31.143745,False
EPK_000262,EPK_000377,544.57,2024-01-07 02:20:55.149715,False
EPK_000251,EPK_000107,3896.49,,False
EPK_000143,EPK_000265,666.55,2024-01-07 02:46:32.689947,False
EPK_000345,EPK_000094,559.97,2024-01-07 02:58:41.732855,False
EPK_000111,EPK_000261,1525.47,2024-01-07 03:08:44.569208,False
EPK_000499,EPK_000312,1438.39,,False
EPK_000059,EPK_000384,451.89,2024-01-07 03:39:25.650401,False
EPK_000368,EPK_000070,1980.97,,False
EPK_000001,EPK_000441,838.85,,False
EPK_000384,EPK_000218,450.79,,False
EPK_000303,EPK_000020,521.54,2024-01-07 04:41:17.804362,False
EPK_000253,EPK_000091,4555.21,2024-01-07 04:56:26.808637,False
EPK_000139,EPK_000126,545.58,2024-01-07 05:01:23.757745,False
EPK_000452,EPK_000079,1622.44,2024-01-07 05:12:54.280703,False
EPK_000036,EPK_000311,160.2,2024-01-07 06:24:32.934548,False
EPK_000159,EPK_000237,5842.75,2024-01-07 06:24:45.498467,False
EPK_000008,EPK_000470,457.38,2024-01-07 08:44:14.662969,False
EPK_000232,EPK_000371,1999.06,2024-01-07 10:15:34.089719,False
EPK_000098,EPK_000403,751.93,2024-01-07 10:21:47.019568,False
EPK_000146,EPK_000485,1965.01,2024-01-07 10:39:06.829767,False
EPK_000303,EPK_000181,2132.73,2024-01-07 11:05:13.225040,False
EPK_000207,EPK_000024,882.72,2024-01-07 11:12:25.989991,False
EPK_000130,EPK_000155,66.76,2024-01-07 11:31:48.699283,False
EPK_000403,EPK_000004,5633.71,,False
EPK_000151,EPK_000119,889.04,,False
EPK_000053,EPK_000276,1904.57,2024-01-07 11:54:34.127768,False
EPK_000119,EPK_000017,3095.11,,False
EPK_000160,EPK_000430,552.38,,False
EPK_000407,EPK_000197,2382.02,2024-01-07 14:04:34.579565,False
EPK_000115,EPK_000056,357.31,2024-01-07 14:31:21.129201,False
EPK_000074,EPK_000092,1961.2,2024-01-07 15:00:06.910660,False
EPK_000112,EPK_000018,1129.53,2024-01-07 15:33:08.416303,False
EPK_000455,EPK_000383,581.88,,False
EPK_000419,EPK_000352,1176.72,,False
EPK_000421,EPK_000192,225.25,,False
EPK_000103,EPK_000236,1743.34,2024-01-07 17:10:19.753104,False
EPK_000339,EPK_000386,2037.0,2024-01-07 17:11:57.746840,False
EPK_000253,EPK_000425,1841.73,2024-01-07 17:50:27.200774,False
EPK_000226,EPK_000276,10438.5,2024-01-07 18:53:39.051850,False
EPK_000111,EPK_000226,951.02,2024-01-07 19:25:08.437742,False
EPK_000472,EPK_000232,1054.49,2024-01-07 21:08:55.522185,False
EPK_000098,EPK_000039,189.54,2024-01-07 22:57:40.512654,False
EPK_000152,EPK_000322,11599.35,2024-01-07 23:58:57.616384,False
EPK_000348,EPK_000152,115.91,,False
EPK_000401,EPK_000126,1545.1,,False
EPK_000383,EPK_000236,436.08,2024-01-08 00:50:38.908987,False
EPK_000365,EPK_000485,1204.08,2024-01-08 01:17:10.571684,False
EPK_000337,EPK_000492,154.15,2024-01-08 02:23:13.269131,False
EPK_000193,EPK_000054,4177.61,2024-01-08 02:30:52.220655,False
EPK_000309,EPK_000467,261.71,2024-01-08 02:42:37.104879,False
EPK_000162,EPK_000435,6306.77,2024-01-08 02:46:46.079805,False
EPK_000207,EPK_000171,272.76,,False
EPK_000444,EPK_000108,4735.39,2024-01-08 03:30:24.280184,False
EPK_000168,EPK_000353,315.31,2024-01-08 04:32:56.043039,False
EPK_000483,EPK_000468,436.19,2024-01-08 04:42:24.352208,False
EPK_000160,EPK_000183,1093.6,2024-01-08 04:48:08.230675,False
EPK_000067,EPK_000438,307.39,2024-01-08 04:54:06.157431,False
EPK_000288,EPK_000367,294.1,2024-01-08 05:11:47.535072,False
EPK_000397,EPK_000470,312.78,,False
EPK_000276,EPK_000197,1769.2,2024-01-08 05:20:23.307128,False
EPK_000303,EPK_000370,1095.89,,False
EPK_000403,EPK_000372,1186.72,,False
EPK_000383,EPK_000460,673.88,2024-01-08 05:56:21.564330,False
EPK_000391,EPK_000496,2497.51,2024-01-08 06:16:46.030665,False
EPK_000134,EPK_000086,5298.01,,False
EPK_000194,EPK_000200,2600.41,,False
EPK_000400,EPK_000336,801.55,2024-01-08 10:22:04.349482,False
EPK_000127,EPK_000321,175.71,,False
EPK_000032,EPK_000274,56.51,2024-01-08 10:38:00.668061,False
EPK_000175,EPK_000210,994.96,2024-01-08 11:19:43.097793,False
